"S_No","Price","Date of Transfer","Postcode","Town","District","County","Partial_Postcode"
18765,265000,2020,"BS9 1QD","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS9 1"
18792,127000,2020,"TR10 9DF","PENRYN","CORNWALL","CORNWALL","TR10 "
18816,185000,2020,"PL13 2RX","LOOE","CORNWALL","CORNWALL","PL13 "
18827,364000,2020,"BS6 6HZ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 6"
18863,212500,2020,"BS8 1SY","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 1"
18864,320000,2020,"BS4 5RT","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS4 5"
18865,347500,2020,"BS6 6LU","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 6"
18886,110000,2020,"TR16 4PB","REDRUTH","CORNWALL","CORNWALL","TR16 "
18887,310000,2020,"TR16 4PE","REDRUTH","CORNWALL","CORNWALL","TR16 "
18888,143000,2020,"TR26 2PH","ST IVES","CORNWALL","CORNWALL","TR26 "
18889,212500,2020,"TR4 8AP","TRURO","CORNWALL","CORNWALL","TR4 8"
18900,480000,2020,"BS6 5DS","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 5"
18908,160000,2020,"BS3 3NG","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 3"
18941,3e+05,2020,"TR2 4EE","TRURO","CORNWALL","CORNWALL","TR2 4"
18955,260000,2020,"BS6 5EA","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 5"
18975,390000,2020,"TR4 8HH","TRURO","CORNWALL","CORNWALL","TR4 8"
18992,272500,2020,"TR3 7BP","TRURO","CORNWALL","CORNWALL","TR3 7"
18996,176000,2020,"BS7 9RF","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS7 9"
19022,342000,2020,"PL26 6EB","ST AUSTELL","CORNWALL","CORNWALL","PL26 "
19023,248500,2020,"TR18 5AJ","PENZANCE","CORNWALL","CORNWALL","TR18 "
19065,188500,2020,"BS3 3NQ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 3"
19066,218000,2020,"BS3 3NG","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 3"
19067,185000,2020,"BS11 0FH","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS11 "
19068,327500,2020,"BS7 9LR","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS7 9"
19071,198000,2020,"BS7 0AF","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS7 0"
19122,328200,2020,"BS6 5EZ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 5"
19123,191000,2020,"BS16 2BQ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS16 "
19124,121000,2020,"TR18 5BG","PENZANCE","CORNWALL","CORNWALL","TR18 "
19137,128000,2020,"TR26 2FZ","ST IVES","CORNWALL","CORNWALL","TR26 "
19200,4e+05,2020,"TR3 6LE","TRURO","CORNWALL","CORNWALL","TR3 6"
19201,397500,2020,"TR26 2FG","ST IVES","CORNWALL","CORNWALL","TR26 "
19205,530000,2020,"TR26 2FG","ST IVES","CORNWALL","CORNWALL","TR26 "
19483,390000,2020,"TR10 9LB","PENRYN","CORNWALL","CORNWALL","TR10 "
19538,150000,2021,"PL26 7AX","ST AUSTELL","CORNWALL","CORNWALL","PL26 "
20218,275000,2021,"PL14 5NQ","LISKEARD","CORNWALL","CORNWALL","PL14 "
20427,317500,2021,"BS11 0UT","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS11 "
20474,245000,2021,"BS2 9LL","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS2 9"
20475,425000,2021,"BS2 9LL","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS2 9"
20513,257000,2021,"BS2 9LL","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS2 9"
20514,375000,2021,"BS6 6HE","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 6"
20654,177500,2021,"TR3 6LD","TRURO","CORNWALL","CORNWALL","TR3 6"
20690,550000,2021,"BS2 8HL","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS2 8"
20695,1200000,2021,"TR16 4NR","REDRUTH","CORNWALL","CORNWALL","TR16 "
20734,225000,2021,"TR15 3GB","REDRUTH","CORNWALL","CORNWALL","TR15 "
20735,967500,2021,"PL27 6US","WADEBRIDGE","CORNWALL","CORNWALL","PL27 "
20736,850000,2021,"PL27 6US","WADEBRIDGE","CORNWALL","CORNWALL","PL27 "
20761,180000,2021,"BS16 3HQ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS16 "
20762,1000,2021,"BS8 4QD","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 4"
20763,2e+05,2021,"BS2 0DF","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS2 0"
20777,592000,2021,"TR20 9SY","PENZANCE","CORNWALL","CORNWALL","TR20 "
20817,575000,2021,"TR12 7BW","HELSTON","CORNWALL","CORNWALL","TR12 "
20818,290000,2021,"PL26 8PP","ST AUSTELL","CORNWALL","CORNWALL","PL26 "
20857,77500,2021,"TR20 8YN","PENZANCE","CORNWALL","CORNWALL","TR20 "
20858,260000,2021,"TR26 2PU","ST IVES","CORNWALL","CORNWALL","TR26 "
20864,325000,2021,"TR26 2PU","ST IVES","CORNWALL","CORNWALL","TR26 "
20946,124950,2021,"TR20 8YN","PENZANCE","CORNWALL","CORNWALL","TR20 "
21021,392000,2021,"TR11 5EP","FALMOUTH","CORNWALL","CORNWALL","TR11 "
21022,125000,2021,"TR26 3HW","ST IVES","CORNWALL","CORNWALL","TR26 "
21032,325000,2021,"TR2 4FD","TRURO","CORNWALL","CORNWALL","TR2 4"
21033,115000,2021,"TR19 7LA","PENZANCE","CORNWALL","CORNWALL","TR19 "
21111,240000,2021,"PL13 1LB","LOOE","CORNWALL","CORNWALL","PL13 "
21112,154000,2021,"TR16 6SN","REDRUTH","CORNWALL","CORNWALL","TR16 "
21113,170000,2021,"TR20 9ST","PENZANCE","CORNWALL","CORNWALL","TR20 "
21201,5e+05,2021,"TR11 5SR","FALMOUTH","CORNWALL","CORNWALL","TR11 "
21202,114950,2021,"PL26 6RR","ST AUSTELL","CORNWALL","CORNWALL","PL26 "
21203,220000,2021,"TR19 6QG","PENZANCE","CORNWALL","CORNWALL","TR19 "
21265,255000,2021,"PL13 1AL","LOOE","CORNWALL","CORNWALL","PL13 "
21311,330000,2021,"TR26 2FG","ST IVES","CORNWALL","CORNWALL","TR26 "
21341,142500,2021,"TR3 7AP","TRURO","CORNWALL","CORNWALL","TR3 7"
21351,260000,2021,"TR10 9DT","PENRYN","CORNWALL","CORNWALL","TR10 "
21400,66000,2021,"TR20 8YN","PENZANCE","CORNWALL","CORNWALL","TR20 "
21401,585000,2021,"PL25 3FX","ST AUSTELL","CORNWALL","CORNWALL","PL25 "
21450,237000,2021,"TR16 5NH","REDRUTH","CORNWALL","CORNWALL","TR16 "
21553,202000,2021,"BS13 8PG","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS13 "
21594,237000,2021,"TR11 5TR","FALMOUTH","CORNWALL","CORNWALL","TR11 "
21632,136000,2021,"PL24 2NJ","PAR","CORNWALL","CORNWALL","PL24 "
21633,505000,2021,"PL11 3DQ","TORPOINT","CORNWALL","CORNWALL","PL11 "
21639,397500,2021,"TR3 6LE","TRURO","CORNWALL","CORNWALL","TR3 6"
21640,195000,2021,"PL25 5FN","ST AUSTELL","CORNWALL","CORNWALL","PL25 "
21641,470000,2021,"TR19 6JU","PENZANCE","CORNWALL","CORNWALL","TR19 "
22197,35000,2021,"BS5 7DR","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 7"
22198,185250,2021,"BS15 1FT","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS15 "
22199,185250,2021,"BS15 1FT","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS15 "
22200,261500,2021,"BS15 1FT","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS15 "
22201,180500,2021,"BS15 1FT","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS15 "
22202,175750,2021,"BS15 1FT","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS15 "
22209,247000,2021,"BS15 1FT","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS15 "
22210,237500,2021,"BS15 1FT","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS15 "
22211,237500,2021,"BS15 1FT","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS15 "
22217,201000,2021,"PL25 5FN","ST AUSTELL","CORNWALL","CORNWALL","PL25 "
22256,175000,2021,"TR19 7HH","PENZANCE","CORNWALL","CORNWALL","TR19 "
22311,209000,2021,"BS16 2GP","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS16 "
22312,209000,2021,"BS16 2GP","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS16 "
22370,775000,2021,"TR27 5BA","HAYLE","CORNWALL","CORNWALL","TR27 "
22371,360000,2021,"TR4 9JL","TRURO","CORNWALL","CORNWALL","TR4 9"
22373,495000,2021,"PL10 1LB","TORPOINT","CORNWALL","CORNWALL","PL10 "
22429,225000,2021,"TR15 3GB","REDRUTH","CORNWALL","CORNWALL","TR15 "
22456,550000,2021,"TR26 2JS","ST IVES","CORNWALL","CORNWALL","TR26 "
22458,246000,2021,"PL30 5AF","BODMIN","CORNWALL","CORNWALL","PL30 "
22490,130000,2021,"TR14 8NY","CAMBORNE","CORNWALL","CORNWALL","TR14 "
22492,350000,2021,"BS7 9LU","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS7 9"
22493,325000,2021,"BS7 9LT","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS7 9"
22494,785000,2021,"TR27 5BA","HAYLE","CORNWALL","CORNWALL","TR27 "
22495,115000,2021,"TR15 3PT","REDRUTH","CORNWALL","CORNWALL","TR15 "
22496,765000,2021,"TR27 5BA","HAYLE","CORNWALL","CORNWALL","TR27 "
22497,765000,2021,"TR27 5BA","HAYLE","CORNWALL","CORNWALL","TR27 "
22506,280000,2021,"BS10 7AD","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS10 "
22507,190000,2021,"BS13 8PG","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS13 "
22509,2e+05,2021,"BS13 8PG","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS13 "
22534,2e+05,2021,"BS3 3LH","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 3"
22535,260000,2021,"BS3 3LH","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 3"
22582,390000,2021,"BS3 1FU","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
22674,2e+05,2021,"BS13 8PG","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS13 "
22676,263000,2021,"BS16 2GX","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS16 "
23655,995000,2021,"PL27 6US","WADEBRIDGE","CORNWALL","CORNWALL","PL27 "
23656,290000,2021,"PL30 3NJ","BODMIN","CORNWALL","CORNWALL","PL30 "
23657,205000,2021,"PL30 3NG","BODMIN","CORNWALL","CORNWALL","PL30 "
23658,261000,2021,"PL30 3NG","BODMIN","CORNWALL","CORNWALL","PL30 "
24159,2e+06,2021,"PL25 3GN","ST AUSTELL","CORNWALL","CORNWALL","PL25 "
24401,199995,2021,"BS16 2GX","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS16 "
24455,2944,2021,"TR27 5AF","HAYLE","CORNWALL","CORNWALL","TR27 "
24456,420000,2021,"TR20 8BZ","PENZANCE","CORNWALL","CORNWALL","TR20 "
24578,177500,2021,"BS5 6TH","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 6"
24879,220000,2021,"BS11 9TX","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS11 "
24886,143000,2021,"TR8 4FA","NEWQUAY","CORNWALL","CORNWALL","TR8 4"
24957,185310,2021,"TR11 5BJ","FALMOUTH","CORNWALL","CORNWALL","TR11 "
24958,420000,2021,"TR18 5DB","PENZANCE","CORNWALL","CORNWALL","TR18 "
25080,140000,2021,"TR26 3HW","ST IVES","CORNWALL","CORNWALL","TR26 "
25199,192500,2021,"BS11 9QB","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS11 "
25319,288000,2021,"BS16 2GX","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS16 "
25320,180500,2021,"BS16 2GX","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS16 "
25327,247995,2021,"BS16 2GX","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS16 "
25328,292000,2021,"BS16 2GX","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS16 "
25563,103000,2021,"TR26 2RP","ST IVES","CORNWALL","CORNWALL","TR26 "
25652,120000,2021,"TR26 2RZ","ST IVES","CORNWALL","CORNWALL","TR26 "
25653,240000,2021,"PL13 1LB","LOOE","CORNWALL","CORNWALL","PL13 "
25694,114000,2021,"PL24 2NG","PAR","CORNWALL","CORNWALL","PL24 "
25765,308000,2021,"TR16 4PE","REDRUTH","CORNWALL","CORNWALL","TR16 "
25825,525000,2021,"PL25 3SG","ST AUSTELL","CORNWALL","CORNWALL","PL25 "
25838,225000,2021,"TR3 7JR","TRURO","CORNWALL","CORNWALL","TR3 7"
25859,270000,2021,"TR19 6JY","PENZANCE","CORNWALL","CORNWALL","TR19 "
25860,265000,2021,"TR19 6JY","PENZANCE","CORNWALL","CORNWALL","TR19 "
25861,130000,2021,"TR15 3SN","REDRUTH","CORNWALL","CORNWALL","TR15 "
25862,340000,2021,"PL13 2RY","LOOE","CORNWALL","CORNWALL","PL13 "
25863,355000,2021,"PL26 6EA","ST AUSTELL","CORNWALL","CORNWALL","PL26 "
25890,320000,2021,"TR19 6QG","PENZANCE","CORNWALL","CORNWALL","TR19 "
25943,350000,2021,"TR15 3FW","REDRUTH","CORNWALL","CORNWALL","TR15 "
25980,185000,2021,"TR11 5AF","FALMOUTH","CORNWALL","CORNWALL","TR11 "
25982,165000,2021,"TR19 7HX","PENZANCE","CORNWALL","CORNWALL","TR19 "
25983,550000,2021,"TR3 7JY","TRURO","CORNWALL","CORNWALL","TR3 7"
25984,252000,2021,"TR20 8HB","PENZANCE","CORNWALL","CORNWALL","TR20 "
26020,173500,2021,"TR26 3HW","ST IVES","CORNWALL","CORNWALL","TR26 "
26074,150000,2021,"TR4 8AP","TRURO","CORNWALL","CORNWALL","TR4 8"
26075,260000,2021,"TR27 5AF","HAYLE","CORNWALL","CORNWALL","TR27 "
26076,210000,2021,"PL13 2EW","LOOE","CORNWALL","CORNWALL","PL13 "
26077,175000,2021,"TR26 3HW","ST IVES","CORNWALL","CORNWALL","TR26 "
26078,55000,2021,"PL17 8NS","CALLINGTON","CORNWALL","CORNWALL","PL17 "
26079,58000,2021,"PL17 8NS","CALLINGTON","CORNWALL","CORNWALL","PL17 "
26129,330000,2021,"TR19 7AX","PENZANCE","CORNWALL","CORNWALL","TR19 "
26130,207500,2021,"TR26 3LJ","ST IVES","CORNWALL","CORNWALL","TR26 "
26175,315000,2021,"PL13 2EE","LOOE","CORNWALL","CORNWALL","PL13 "
26176,242500,2021,"TR26 2RT","ST IVES","CORNWALL","CORNWALL","TR26 "
26226,140000,2021,"TR16 4NA","REDRUTH","CORNWALL","CORNWALL","TR16 "
26263,272500,2021,"TR26 2PU","ST IVES","CORNWALL","CORNWALL","TR26 "
26264,155000,2021,"TR11 5BJ","FALMOUTH","CORNWALL","CORNWALL","TR11 "
26268,58000,2021,"PL26 8RD","ST AUSTELL","CORNWALL","CORNWALL","PL26 "
26269,57000,2021,"PL26 8RD","ST AUSTELL","CORNWALL","CORNWALL","PL26 "
26345,307500,2021,"BS6 7EG","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 7"
26437,271000,2021,"BS3 1NT","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
26491,178000,2021,"BS7 0LH","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS7 0"
26492,258000,2021,"BS7 9EX","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS7 9"
26533,287500,2021,"BS9 2RE","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS9 2"
26543,345000,2021,"BS6 6LY","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 6"
26544,190000,2021,"BS11 0FH","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS11 "
26561,275000,2021,"BS6 6RW","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 6"
26573,177000,2021,"PL30 5AF","BODMIN","CORNWALL","CORNWALL","PL30 "
26575,231000,2021,"BS8 3HX","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 3"
26582,2e+05,2021,"BS16 3BG","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS16 "
26583,185000,2021,"BS5 8EE","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 8"
26607,257500,2021,"PL30 5AF","BODMIN","CORNWALL","CORNWALL","PL30 "
26608,246500,2021,"PL30 5AF","BODMIN","CORNWALL","CORNWALL","PL30 "
26612,390000,2021,"BS8 1SA","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 1"
26615,150000,2021,"PL30 5AF","BODMIN","CORNWALL","CORNWALL","PL30 "
26666,501500,2021,"BS6 6ND","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 6"
26695,442000,2021,"BS8 2AJ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 2"
26696,276000,2021,"BS16 1FB","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS16 "
26697,358000,2021,"BS8 2TS","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 2"
26703,210000,2021,"BS3 3NB","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 3"
26733,275000,2021,"BS4 2JP","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS4 2"
26742,510000,2021,"BS8 2EJ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 2"
26743,440000,2021,"BS8 4HB","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 4"
26747,575000,2021,"BS2 8HL","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS2 8"
26748,550000,2021,"BS9 1NB","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS9 1"
26775,1e+05,2021,"BS2 8HT","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS2 8"
26785,155000,2021,"BS3 1RE","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
26791,310000,2021,"BS3 1DL","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
26813,206000,2021,"BS16 3DU","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS16 "
26814,269000,2021,"BS3 1PD","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
26970,112000,2021,"BS7 8PD","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS7 8"
27082,220000,2021,"PL11 3JR","TORPOINT","CORNWALL","CORNWALL","PL11 "
27083,225000,2021,"TR26 2PH","ST IVES","CORNWALL","CORNWALL","TR26 "
27084,310000,2021,"TR3 7JR","TRURO","CORNWALL","CORNWALL","TR3 7"
27119,980000,2021,"BS8 3EH","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 3"
27120,1075000,2021,"BS8 3EH","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 3"
27149,2e+05,2021,"BS8 1LR","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 1"
27150,1225000,2021,"BS8 3EH","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 3"
27151,215000,2021,"BS5 8AJ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 8"
27652,245000,2021,"BS10 7AD","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS10 "
27655,266000,2021,"BS2 0BW","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS2 0"
27670,202000,2021,"BS7 0LE","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS7 0"
27680,238000,2021,"BS3 4DL","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 4"
27681,232000,2021,"BS7 9FG","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS7 9"
27682,3e+05,2021,"BS9 1QA","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS9 1"
27697,320000,2021,"BS9 3BL","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS9 3"
27704,317500,2021,"BS9 3BL","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS9 3"
27730,450000,2021,"BS4 5RT","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS4 5"
27739,232000,2021,"BS6 6YU","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 6"
27740,468500,2021,"BS1 6LB","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS1 6"
27748,155000,2021,"BS5 8AQ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 8"
27850,380000,2021,"PL25 3SH","ST AUSTELL","CORNWALL","CORNWALL","PL25 "
27879,850000,2021,"TR16 4NS","REDRUTH","CORNWALL","CORNWALL","TR16 "
27885,137500,2021,"TR26 2PH","ST IVES","CORNWALL","CORNWALL","TR26 "
27901,365000,2021,"PL26 6UP","ST AUSTELL","CORNWALL","CORNWALL","PL26 "
27902,283000,2021,"TR26 2SF","ST IVES","CORNWALL","CORNWALL","TR26 "
27911,480000,2021,"PL12 5EX","SALTASH","CORNWALL","CORNWALL","PL12 "
27920,182500,2021,"PL26 7FA","ST AUSTELL","CORNWALL","CORNWALL","PL26 "
27934,572500,2021,"PL25 3FX","ST AUSTELL","CORNWALL","CORNWALL","PL25 "
27946,365000,2021,"TR26 2FG","ST IVES","CORNWALL","CORNWALL","TR26 "
27954,70000,2021,"TR27 6HG","HAYLE","CORNWALL","CORNWALL","TR27 "
27961,58000,2021,"TR27 6HG","HAYLE","CORNWALL","CORNWALL","TR27 "
27962,195000,2021,"TR2 5RW","TRURO","CORNWALL","CORNWALL","TR2 5"
27966,120000,2021,"TR27 5AF","HAYLE","CORNWALL","CORNWALL","TR27 "
27980,185000,2021,"TR7 3LR","NEWQUAY","CORNWALL","CORNWALL","TR7 3"
27990,485000,2021,"TR16 4EA","REDRUTH","CORNWALL","CORNWALL","TR16 "
27996,124000,2021,"TR20 9JY","PENZANCE","CORNWALL","CORNWALL","TR20 "
27997,465000,2021,"TR8 5RW","NEWQUAY","CORNWALL","CORNWALL","TR8 5"
28003,179000,2021,"TR27 5AF","HAYLE","CORNWALL","CORNWALL","TR27 "
28004,162183,2021,"TR11 5BJ","FALMOUTH","CORNWALL","CORNWALL","TR11 "
28011,220000,2021,"TR16 6SN","REDRUTH","CORNWALL","CORNWALL","TR16 "
28012,199950,2021,"TR16 6DU","REDRUTH","CORNWALL","CORNWALL","TR16 "
28022,155000,2021,"TR1 1DY","TRURO","CORNWALL","CORNWALL","TR1 1"
28023,219950,2021,"PL13 2EW","LOOE","CORNWALL","CORNWALL","PL13 "
28024,120500,2021,"TR14 8PF","CAMBORNE","CORNWALL","CORNWALL","TR14 "
28149,220000,2021,"BS3 1RF","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
28150,155000,2021,"BS8 4JW","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 4"
28169,310000,2021,"BS9 1PY","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS9 1"
28170,195000,2021,"BS5 8AL","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 8"
28171,175500,2021,"BS16 2BQ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS16 "
28211,3e+05,2021,"BS8 4HH","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 4"
28212,193000,2021,"BS5 8AQ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS5 8"
28213,112445,2021,"BS4 3EQ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS4 3"
28429,275000,2021,"BS3 4TY","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 4"
28430,534500,2021,"BS6 7AP","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 7"
28468,525000,2021,"BS8 4JS","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 4"
28474,335000,2021,"BS8 4BQ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 4"
28475,345000,2021,"BS6 6AJ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 6"
28476,420000,2021,"BS8 4EF","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 4"
28511,325000,2021,"BS2 8NB","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS2 8"
28528,185000,2021,"BS7 0AS","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS7 0"
28551,272500,2021,"BS6 5AS","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 5"
28584,367000,2021,"BS8 3AX","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 3"
28593,285000,2021,"BS7 8UG","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS7 8"
28594,287500,2021,"BS7 9HT","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS7 9"
28595,235000,2021,"BS7 0FF","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS7 0"
28596,225000,2021,"BS3 4DL","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 4"
28629,290000,2021,"BS6 5AQ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 5"
28630,250000,2021,"BS8 3DW","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 3"
28631,260000,2021,"BS3 1JQ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS3 1"
28664,325000,2021,"BS6 6AH","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 6"
28665,380000,2021,"BS6 6HZ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 6"
28698,294500,2021,"BS8 2BB","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 2"
28699,250000,2021,"BS6 6RH","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 6"
28700,332500,2021,"BS6 5QQ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS6 5"
28729,335000,2021,"BS8 3DW","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 3"
28744,490000,2021,"BS1 6HL","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS1 6"
28745,530000,2021,"BS8 2EJ","BRISTOL","CITY OF BRISTOL","CITY OF BRISTOL","BS8 2"
28765,313000,2021,"PL10 1NB","TORPOINT","CORNWALL","CORNWALL","PL10 "
